Source_row,Species_key,Source_citation,Source_publication_year,Resolution_status
508,Paramegophrys chishuiensis,"Shi-Ze Li and Jing Liu and Gang Wei and Bin Wang (2020). A new species of the Asian leaf litter toad genus Leptobrachella (Amphibia, Anura, Megophryidae) from southwest China ZooKeys, 943, 91–118 https://doi.org/10.3897/zookeys.943.51572",2020,removed_duplicate_new_species_row
509,Paramegophrys chishuiensis,"Shi-Ze Li and Jing Liu and Gang Wei and Bin Wang (2020). A new species of the Asian leaf litter toad genus Leptobrachella (Amphibia, Anura, Megophryidae) from southwest China ZooKeys, 943, 91–118 https://doi.org/10.3897/zookeys.943.51572",2020,removed_duplicate_new_species_row
510,Paramegophrys chishuiensis,"Shi-Ze Li and Jing Liu and Gang Wei and Bin Wang (2020). A new species of the Asian leaf litter toad genus Leptobrachella (Amphibia, Anura, Megophryidae) from southwest China ZooKeys, 943, 91–118 https://doi.org/10.3897/zookeys.943.51572",2020,removed_duplicate_new_species_row
1964,Paramegophrys dong,,2024,removed_duplicate_new_species_row
1679,Paramegophrys dorsospina,"Jian Wang and Zhi-Tong Lyu and Shuo Qi and Zhao-Chi Zeng and Wen-Xiang Zhang and Long-Shan Lu and Ying-Yong Wang (2020). Two new Leptobrachella species (Anura, Megophryidae) from the Yunnan-Guizhou Plateau, southwestern China ZooKeys, 995, 97–125 https://doi.org/10.3897/zookeys.955.55939",2020,removed_duplicate_new_species_row
1681,Paramegophrys dorsospina,"Jian Wang and Zhi-Tong Lyu and Shuo Qi and Zhao-Chi Zeng and Wen-Xiang Zhang and Long-Shan Lu and Ying-Yong Wang (2020). Two new Leptobrachella species (Anura, Megophryidae) from the Yunnan-Guizhou Plateau, southwestern China ZooKeys, 995, 97–125 https://doi.org/10.3897/zookeys.955.55939",2020,removed_duplicate_new_species_row
1272,Paramegophrys jinshaensis,"Yan-Lin Cheng and Sheng-Chao Shi and Jiaqi Li and Jing Liu and Shi-Ze Li and Bin Wang (2021). A new species of the Asian leaf litter toad genus Leptobrachella Smith, 1925 (Anura, Megophryidae) from northwest Guizhou Province, China ZooKeys, 1021, 81–107 https://doi.org/10.3897/zookeys.1021.60729",2021,removed_duplicate_new_species_row
1490,Paramegophrys laui,"Yikhei SUNG and Jianhuan YANG and Yingyong WANG (2014). A New Species of Leptolalax (Anura: Megophryidae) from Southern China Asian Herpetological Research, 5(2), 80–90 https://doi.org/10.3724/SP.J.1245.2014.00080",2014,removed_duplicate_new_species_row
330,Paramegophrys suiyangensis,"Tao Luo and Ning Xiao and Kai Gao and Jiang Zhou (2020). A new species of Leptobrachella (Anura, Megophryidae) from Guizhou Province, China ZooKeys, 923, 115–140 https://doi.org/10.3897/zookeys.923.47172",2020,removed_duplicate_new_species_row
333,Paramegophrys suiyangensis,"Tao Luo and Ning Xiao and Kai Gao and Jiang Zhou (2020). A new species of Leptobrachella (Anura, Megophryidae) from Guizhou Province, China ZooKeys, 923, 115–140 https://doi.org/10.3897/zookeys.923.47172",2020,removed_duplicate_new_species_row
334,Paramegophrys suiyangensis,"Tao Luo and Ning Xiao and Kai Gao and Jiang Zhou (2020). A new species of Leptobrachella (Anura, Megophryidae) from Guizhou Province, China ZooKeys, 923, 115–140 https://doi.org/10.3897/zookeys.923.47172",2020,removed_duplicate_new_species_row
722,Paramegophrys tengchongensis,"JIAN-HUAN YANG and YING-YONG WANG and GUO-LING CHEN & DING-QI RAO (2016). A new species of the genus Leptolalax (Anura: Megophryidae) from Mt. Gaoligongshan of western Yunnan Province, China Zootaxa, 4088(3), 379–394 https://doi.org/10.11646/zootaxa.4088.3.4",2016,removed_duplicate_new_species_row
