Duplicate_group_id,Group_size,Species_key,New_distribution_province,Source_row,Source_publication_year,Resolution_status,Retained_source_row,Source_citation
DUP017,2,Calotes versicolor,福建,1755,2022,retained；同最早年多条，保留行序最先者，需人工裁定,1755,"胡政坤、黄勇、姚忠祎、蔡波 (2022). 贵州江口和福建连江分别发现中国棱蜥和变色树蜥 动物学杂志, 57(1), 112-116 https://doi.org/10.13859/j.cjz.202201011"
DUP017,2,Calotes versicolor,福建,1757,2022,removed_later_duplicate,1755,"胡政坤、黄勇、姚忠祎、蔡波 (2022). 贵州江口和福建连江分别发现中国棱蜥和变色树蜥 动物学杂志, 57(1), 112-116 https://doi.org/10.13859/j.cjz.202201011"
DUP018,3,Calotes vindumbarbatus,云南,1112,2022,retained；同最早年多条，保留行序最先者，需人工裁定,1112,"Shuo Liu and Changsheng Zuo and Fawang Yin and Hong Hui and Dingqi Rao (2022). First record of Calotes vindumbarbatus Wagner, Ihlow, Hartmann, Flecks, Schmitz & Böhme, 2021 (Squamata: Agamidae) from China, with revised diagnosis of this species Biodiversity Data Journal, 10 https://doi.org/10.3897/BDJ.10.e77963"
DUP018,3,Calotes vindumbarbatus,云南,1113,2022,removed_later_duplicate,1112,"Shuo Liu and Changsheng Zuo and Fawang Yin and Hong Hui and Dingqi Rao (2022). First record of Calotes vindumbarbatus Wagner, Ihlow, Hartmann, Flecks, Schmitz & Böhme, 2021 (Squamata: Agamidae) from China, with revised diagnosis of this species Biodiversity Data Journal, 10 https://doi.org/10.3897/BDJ.10.e77963"
DUP018,3,Calotes vindumbarbatus,云南,1485,2022,removed_later_duplicate,1112,"Shuo Liu and Changsheng Zuo and Fawang Yin and Hong Hui and Dingqi Rao (2022). First record of Calotes vindumbarbatus Wagner, Ihlow, Hartmann, Flecks, Schmitz & Böhme, 2021 (Squamata: Agamidae) from China, with revised diagnosis of this species Biodiversity Data Journal, 10 https://doi.org/10.3897/BDJ.10.e77963"
DUP019,2,Elaphe bimaculata,内蒙古,548,2010,retained,548,那顺得力格尔、张逦嘉、鲍伟东 (2010) 动物学杂志
DUP019,2,Elaphe bimaculata,内蒙古,1824,2019,removed_later_duplicate,548,"杨婧、李春华、姜秀丽、穆丽光、乌力吉、向昌林、张书理、鲍伟东 (2019). 陆生野生动物长期监测简报 野生动物学报, 40(1), 173-176 https://doi.org/10.19711/j.cnki.issn2310-1490.2019.01.028"
DUP020,5,Elaphe moellendorffi,贵州,2134,2021,retained；同最早年多条，保留行序最先者，需人工裁定,2134,
DUP020,5,Elaphe moellendorffi,贵州,2139,2021,removed_later_duplicate,2134,
DUP020,5,Elaphe moellendorffi,贵州,2141,2021,removed_later_duplicate,2134,
DUP020,5,Elaphe moellendorffi,贵州,2142,2021,removed_later_duplicate,2134,
DUP020,5,Elaphe moellendorffi,贵州,2147,2021,removed_later_duplicate,2134,
DUP021,2,Eremias brenchleyi,辽宁,1808,2014,retained；同最早年多条，保留行序最先者，需人工裁定,1808,"王超、田应洲、谷晓明 (2014). 辽宁省蜥蜴类新纪录———山地麻蜥 四川动物, 33(3), 383-387"
DUP021,2,Eremias brenchleyi,辽宁,1817,2014,removed_later_duplicate,1808,"王超、田应洲、谷晓明 (2014). 辽宁省蜥蜴类新纪录———山地麻蜥 四川动物, 33(3), 383-387"
DUP022,2,Eremias vermiculata,新疆,601,,removed_later_duplicate,659,
DUP022,2,Eremias vermiculata,新疆,659,2014,retained,659,"刘金龙、原秀云、周天和、李大江、Tatjana N.Dujsebayeva、郭宪光 (2014). 新疆天山以北发现爬行动物虫纹麻蜥 动物学杂志, 49(3), 423-427 https://doi.org/10.13859/j.cjz.201403015"
DUP023,3,Gekko palmatus,广东,1052,2024,retained；同最早年多条，保留行序最先者，需人工裁定,1052,"Hao-Tian Wang and Shuo Qi and Dan-Yang Zhou and Ying-Yong Wang (2024). Description of a new karst-adapted species of the subgenus Japonigekko (Squamata: Gekkonidae: Gekko) from Guangxi, southern China Vertebrate Zoology, 74, 121–132 https://doi.org/10.3897/vz.74.e113899"
DUP023,3,Gekko palmatus,广东,1054,2024,removed_later_duplicate,1052,"Hao-Tian Wang and Shuo Qi and Dan-Yang Zhou and Ying-Yong Wang (2024). Description of a new karst-adapted species of the subgenus Japonigekko (Squamata: Gekkonidae: Gekko) from Guangxi, southern China Vertebrate Zoology, 74, 121–132 https://doi.org/10.3897/vz.74.e113899"
DUP023,3,Gekko palmatus,广东,2065,2024,removed_later_duplicate,1052,宋晗铭、王昊天、林泽花、郑寿松、周志恩、龚粤宁、刘志发、李友余、齐硕、王英永 (2024) 动物学杂志 10.13859/j.cjz.202424014
DUP024,2,Gloydius intermedius,北京,1960,2012,retained；同最早年多条，保留行序最先者，需人工裁定,1960,林宣龙、郭冬生 (2012) 动物学杂志
DUP024,2,Gloydius intermedius,北京,2059,2012,removed_later_duplicate,1960,林宣龙、郭冬生 (2012) 动物学杂志
DUP025,2,Gonyosoma boulengeri,云南,258,2022,removed_later_duplicate,590,"王剀、吕植桐、王健、齐硕、车静 (2022). 云南省爬行动物名录和地理区划更新 生物多样性, 30(4), 1-31 https://doi.org/10.17520/biods.2021326"
DUP025,2,Gonyosoma boulengeri,云南,590,2018,retained,590,杨典成、侯勉、彭丽芳、翁仕洋、张勇、黄松 (2018) 动物学杂志 Chinese Journal of Zoology 10.13859/j.cjz.201805022
DUP026,3,Gonyosoma frenatum,湖北,2120,2018,retained；同最早年多条，保留行序最先者，需人工裁定,2120,崔继法、吉晟男、王志先、高学斌、陈健、李俊峰、周友兵 (2018) 动物学杂志 Chinese Journal of Zoology 10.13859/j.cjz.201804019
