species,IUCN_category,gbif_matched_name,gbif_match_type,query_used
Dibamus bourreti,LC,"Dibamus bourreti Angel, 1935",EXACT,Dibamus bourreti
Diploderma batangense,LC,"Diploderma batangense (Li, Deng, Wu & Wang, 2001)",EXACT,Diploderma batangense
Diploderma bifluviale,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma bifluviale
Diploderma bowoense,NE,"Diploderma bowoense Wang, Gao, Wu, Siler & Che, 2021",EXACT,Diploderma bowoense
Diploderma daduense,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma daduense
Diploderma danbaense,NE,"Diploderma danbaense Liu, Hou, Ananjeva & Rao, 2023",EXACT,Diploderma danbaense
Diploderma daochengense,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma daochengense
Diploderma donglangense,NE,"Diploderma donglangense Liu, Hou, Ananjeva & Rao, 2023",EXACT,Diploderma donglangense
Diploderma drukdaypo,NE,"Diploderma drukdaypo (Wang, Ren, Jiang, Zou, Wu, Che & Siler, 2019)",EXACT,Diploderma drukdaypo
Diploderma dymondi,LC,"Diploderma dymondi (Boulenger, 1906)",EXACT,Diploderma dymondi
Diploderma iadinum,NT,"Diploderma iadinum (Wang, Jiang, Siler & Che, 2016)",EXACT,Diploderma iadinum
Diploderma jiulongense,NE,"Diploderma jiulongense Liu, Hou, Ananjeva & Rao, 2023",EXACT,Diploderma jiulongense
Diploderma kangdingense,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma kangdingense
Diploderma limingense,NE,"Diploderma limingense Liu, Hou, Rao & Ananjeva, 2022",EXACT,Diploderma limingense
Diploderma micangshanense,LC,"Japalura micangshanensis Song, 1987",EXACT,Japalura micangshanensis
Diploderma shuoquense,NE,"Diploderma shuoquense Liu, Hou, Rao & Ananjeva, 2022",EXACT,Diploderma shuoquense
Diploderma slowinskii,DD,"Diploderma slowinskii (Rao, Vindum, Ma, Fu & Wilkinson, 2017)",EXACT,Diploderma slowinskii
Diploderma sp. nov.,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma sp. nov.
Diploderma sp. nov. 1,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma sp. nov. 1
Diploderma sp. nov. 2,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma sp. nov. 2
Diploderma sp. nov. 3,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma sp. nov. 3
Diploderma sp. nov. 4,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma sp. nov. 4
Diploderma sp. nov. 5,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma sp. nov. 5
Diploderma sp. nov. 6,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma sp. nov. 6
Diploderma splendidum,LC,"Diploderma splendidum (Barbour & Dunn, 1919)",EXACT,Diploderma splendidum
Diploderma swild,NE,"Diploderma swild Wang, Wu, Jiang, Chen, Miao, Siler & Che, 2019",EXACT,Diploderma swild
Diploderma tachengense,NE,"Diploderma tachengense Liu, Hou, Ananjeva & Rao, 2023",EXACT,Diploderma tachengense
Diploderma vela,LC,"Diploderma vela (Wang, Jiang & Che, 2015)",EXACT,Diploderma vela
Diploderma xinlongense,NE,"Diploderma Hallowell, 1861",HIGHERRANK,Diploderma xinlongense
Diploderma yangi,NE,"Diploderma yangi Wang, Zhang & Li, 2022",EXACT,Diploderma yangi
Diploderma yongshengense,NE,"Diploderma yongshengense Liu, Hou, Rao & Ananjeva, 2022",EXACT,Diploderma yongshengense
Diploderma yulongense,LC,"Diploderma yulongense (Manthey, Denzer, Hou & Wang, 2012)",EXACT,Diploderma yulongense
Dopasia harti,LC,"Dopasia harti (Boulenger, 1899)",EXACT,Dopasia harti
Duttaphrynus melanostictus,LC,"Duttaphrynus melanostictus (Schneider, 1799)",EXACT,Duttaphrynus melanostictus
Echinotriton sp. nov.,NE,"Echinotriton Nussbaum & Brodie, 1982",HIGHERRANK,Echinotriton sp. nov.
Elaphe bimaculata,NT,"Elaphe bimaculata Schmidt, 1925",EXACT,Elaphe bimaculata
Elaphe carinata,LC,"Elaphe carinata (Günther, 1864)",EXACT,Elaphe carinata
Elaphe moellendorffi,VU,"Elaphe moellendorffi (Boettger, 1886)",EXACT,Elaphe moellendorffi
Elaphe porphyracea,NE,"Elaphe porphyracea Cantor, 1839",EXACT,Elaphe porphyracea
Elaphe xiphodonta,DD,"Elaphe xiphodonta Qi, Shi, Ma, Gao, Bu, Grismer, Li & Wang, 2021",EXACT,Elaphe xiphodonta
Elaphe zoigeensis,LC,"Elaphe zoigeensis Huang, Ding, Burbrink, Yang, Huang, Ling, Chen & Zhang, 2012",EXACT,Elaphe zoigeensis
Eremias brenchleyi,LC,"Eremias brenchleyi Günther, 1872",EXACT,Eremias brenchleyi
Eremias velox,LC,"Eremias velox (Pallas, 1771)",EXACT,Eremias velox
Eremias vermiculata,LC,"Eremias vermiculata Blanford, 1875",EXACT,Eremias vermiculata
Eryx miliaris,LC,"Eryx miliaris (Pallas, 1773)",EXACT,Eryx miliaris
Euprepiophis perlaceus,EN,"Euprepiophis perlaceus (Stejneger, 1929)",EXACT,Euprepiophis perlaceus
Euspondylus oreades,DD,"Euspondylus oreades Chávez, Siu-Ting, Duran & Venegas, 2011",EXACT,Euspondylus oreades
Feihyla fuhua,LC,"Feihyla fuhua Fei, Ye & Jiang, 2010",EXACT,Feihyla fuhua
Feirana kangxianensis,EN,"Feirana kangxianensis Yang, Wang, Hu & Jiang, 2011",EXACT,Feirana kangxianensis
Fejervarya limnocharis,LC,"Fejervarya limnocharis (Gravenhorst, 1829)",EXACT,Fejervarya limnocharis
Gekko alpinus,NE,"Gekko Laurenti, 1768",HIGHERRANK,Gekko alpinus
Gekko bannaense,DD,"Gekko bannaense (Wang, Wang & Liu, 2016)",EXACT,Gekko bannaense
Gekko gecko,LC,"Gekko gecko (Linnaeus, 1758)",EXACT,Gekko gecko
Gekko guishanicus,DD,"Gekko guishanicus Lin & Yao, 2016",EXACT,Gekko guishanicus
Gekko ichangensis,NE,"Gekko Laurenti, 1768",HIGHERRANK,Gekko ichangensis
Gekko kaiyai,NE,"Gekko Laurenti, 1768",HIGHERRANK,Gekko kaiyai
Gekko kwangsiensis,DD,"Gekko kwangsiensis Yang, 2015",EXACT,Gekko kwangsiensis
Gekko liui,NE,"Gekko Laurenti, 1768",HIGHERRANK,Gekko liui
Gekko palmatus,LC,"Gekko palmatus Boulenger, 1907",EXACT,Gekko palmatus
Gekko paucituberculatus,NE,"Gekko Laurenti, 1768",HIGHERRANK,Gekko paucituberculatus
Gloydius angusticeps,NE,"Gloydius angusticeps Shi, Yang, Huang, Orlov & Li, 2018",EXACT,Gloydius angusticeps
Gloydius cognatus,NE,"Gloydius cognatus (Gloyd, 1977)",EXACT,Gloydius cognatus
Gloydius intermedius,LC,"Gloydius intermedius (Strauch, 1868)",EXACT,Gloydius intermedius
Gloydius lateralis,NE,"Gloydius lateralis Zhang, Shi, Jiang & Shi, 2022",EXACT,Gloydius lateralis
Gloydius lijianlii,NE,"Gloydius lijianlii Jiang & Zhao, 2009",EXACT,Gloydius lijianlii
Gloydius lipipengi,NE,"Gloydius lipipengi Shi, Liu, Giri, Owens, Santra, Kuttalam, Melvan, Guo & Malhotra, 2021",EXACT,Gloydius lipipengi
Gloydius swild,NE,"Gloydius swild Shi, Liu, Giri, Owens, Santra, Kuttalam, Melvan, Guo & Malhotra, 2021",EXACT,Gloydius swild
Gloydius variegatus,NE,"Gloydius Hoge & Romano-Hoge, 1981",HIGHERRANK,Gloydius variegatus
Glyphoglossus huadianensis,NE,"Glyphoglossus Günther, 1869",HIGHERRANK,Glyphoglossus huadianensis
Glyphoglossus yunnanensis,LC,"Glyphoglossus yunnanensis (Boulenger, 1919)",EXACT,Glyphoglossus yunnanensis
Goniurosaurus chengzheng,NE,"Goniurosaurus chengzheng Zhu, Liu, Bai, Román-Palacios, Li & He, 2021",EXACT,Goniurosaurus chengzheng
Goniurosaurus gezhi,NE,"Goniurosaurus gezhi Zhu, He & Li, 2020",EXACT,Goniurosaurus gezhi
Goniurosaurus gollum,NE,"Goniurosaurus gollum Qi, Wang, Grismer, Chen, Lyu & Wang, 2020",EXACT,Goniurosaurus gollum
Goniurosaurus kadoorieorum,EN,"Goniurosaurus kadoorieorum Yang & Chan, 2015",EXACT,Goniurosaurus kadoorieorum
Goniurosaurus kwangsiensis,EN,"Goniurosaurus kwangsiensis Yang & Chan, 2015",EXACT,Goniurosaurus kwangsiensis
Goniurosaurus varius,NE,"Goniurosaurus varius Qi, Grismer, Lyu, Zhang, Li & Wang, 2020",EXACT,Goniurosaurus varius
Goniurosaurus wangshu,NE,"Goniurosaurus wangshu Zhu, Wu, Li & He, 2022",EXACT,Goniurosaurus wangshu
Goniurosaurus yingdeensis,CR,"Goniurosaurus yingdeensis Wang, Yang & Cui, 2010",EXACT,Goniurosaurus yingdeensis
Gonyosoma boulengeri,LC,"Gonyosoma boulengeri (Mocquard, 1897)",EXACT,Gonyosoma boulengeri
Gonyosoma frenatum,LC,"Gonyosoma frenatum (Gray, 1853)",EXACT,Gonyosoma frenatum
Gonyosoma prasinum,LC,"Gonyosoma prasinum (Blyth, 1854)",EXACT,Gonyosoma prasinum
Gracixalus gracilipes,LC,"Gracixalus gracilipes (Bourret, 1937)",EXACT,Gracixalus gracilipes
Gracixalus guangdongensis,LC,"Gracixalus guangdongensis Wang, Zeng, Liu & Wang, 2018",EXACT,Gracixalus guangdongensis
Gracixalus jinggangensis,CR,"Gracixalus jinggangensis Zeng, Zhao, Chen, Chen, Zhang & Wang, 2017",EXACT,Gracixalus jinggangensis
Gracixalus nonggangensis,EN,"Gracixalus nonggangensis Mo, Zhang, Luo, Zhou & Chen, 2013",EXACT,Gracixalus nonggangensis
Gracixalus tianlinensis,DD,"Gracixalus tianlinensis Chen, Bei, Liao, Zhou & Mo, 2018",EXACT,Gracixalus tianlinensis
