Source_row,Chinese_name_raw,Scientific_name_raw,Province_raw,Verdict,Reason,Source_citation
67,黑龙江林蛙,Rana amurensis,新疆,终审:排除(建议)-无引用且该省为已知分布,记录类型无法判定（原表未标注且引用无线索）,
68,戴云角蟾,Boulenophrys daiyunensis,福建,终审:转入新种表(建议·待复核),记录类型无法判定（原表未标注且引用无线索）,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
69,雨神角蟾,Boulenophrys ombrophila,福建,新种表,新种描述，转入 CHNR_new_species,
70,雨神角蟾,Boulenophrys ombrophila,福建,终审:排除-伴随物种（省内已知）,记录类型无法判定（原表未标注且引用无线索）,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
71,中国雨蛙,Hyla chinensis,福建,终审:排除(建议)-无引用且该省为已知分布,记录类型无法判定（原表未标注且引用无线索）,
72,崇安地蜥,Platyplacopus sylvaticus,江西,事件表,省级新纪录事件（1省）,"乐新贵、洪宏志、王英永 (2009). 江西省爬行纲动物新纪录———崇安地蜥Platyplacopussylvaticus 四川动物, 28(4), 600-601"
73,平鳞钝头蛇,Pareas boulengeri,河南,事件表,省级新纪录事件（1省）,"陈晓虹、朱命炜、侯名根、瞿文元 (2006). 河南游蛇科一新记录———平鳞钝头蛇 四川动物, 25(2), 269"
74,丽纹蛇,Calliophis macclellandi,河南,事件表,省级新纪录事件（1省）,"陈晓虹、王新卫 (2010). 河南省眼镜蛇科新记录-丽纹蛇 河南师范大学学报(自然科学版), 38(4), 158-159 https://doi.org/10.16366/j.cnki.1000-2367.2010.04.018"
75,黄纹石龙子,Eumeces capito,河南,事件表,省级新纪录事件（1省）,"张珑、何淑艳、何少峰 (2012). 河南省石龙子一新记录种——黄纹石龙子 河南科学, 30(1), 63-64 https://doi.org/10.13537/j.issn.1004-3918.2012.01.036"
76,三明角蟾,Boulenophrys sanmingensis,福建,终审:转入新种表(建议·待复核),记录类型无法判定（原表未标注且引用无线索）,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
77,秦巴拟小鲵,Pseudohynobius tsinpaensis,河南,事件表,省级新纪录事件（1省）,
78,宁陕齿突蟾,Scutiger ningshanensis,河南,事件表,省级新纪录事件（1省）,
79,中华蟾蜍指名亚种,Bufo gargarizans gargarizans,河南,排除,区系/多样性调查类文献的物种清单行，非新纪录事件,"李磊、张建设、陈晓虹、王丽、陶娟 (2010). 河南省老君山自然保护区两栖动物多样性与保护 四川动物, 29(1), 134-136"
80,短肢角蟾,Boulenophrys brachykolos,福建,终审:排除-伴随物种（省内已知）,记录类型无法判定（原表未标注且引用无线索）,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
81,立春角蟾,Boulenophrys lichun,福建,新种表,新种描述，转入 CHNR_new_species,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
82,太行隆肛蛙,Feirana taihangnicus,河南,终审:排除(建议)-无引用且该省为已知分布,记录类型无法判定（原表未标注且引用无线索）,
83,立春角蟾,Boulenophrys lichun,福建,新种表,新种描述，转入 CHNR_new_species,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
84,颈槽蛇,Rhabdophis nuchalis,河南,事件表,省级新纪录事件（1省）,"雷隽、丁利 (2013). 河南省蛇类新纪录———颈槽蛇 四川动物, 32(3), 404-407"
85,黑背白环蛇,Lycodon ruhstrati,河南,事件表,省级新纪录事件（1省）,"陈晓虹、朱命炜、陶立奎 (2006). 河南蛇类新记录---黑背白环蛇 河南师范大学学报(自然科学版), 34(1), 153-154 https://doi.org/10.16366/j.cnki.1000-2367.2006.01.041"
86,丽水异角蟾,Xenophrys lishuiensis,浙江,新种表,新种描述，转入 CHNR_new_species,"Wang、Liu、Jiang (2017). 丽水异角蟾(Xenophrys lishuiensis Wang, Liu & Jiang, 2017) 动物学杂志, 52(1)"
87,丽水异角蟾,Xenophrys lishuiensis,浙江,新种表,新种描述，转入 CHNR_new_species,
88,,Boulenophrys,,排除,属级记录，非种级事件,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
89,短肢角蟾,Boulenophrys brachykolos,福建,终审:排除-伴随物种（省内已知）,记录类型无法判定（原表未标注且引用无线索）,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
90,雨神角蟾,Boulenophrys ombrophila,,终审:A3 排除-无省份且无坐标,新种描述文献中的伴随物种记录，非明确新纪录事件,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
91,合征姬蛙,Microhyla mixtura,浙江,事件表,省级新纪录事件（1省）,
92,光蜥,Ateuchosaurus chinensis,浙江,事件表,省级新纪录事件（1省）,黄珺、秦铖、张永普、李一凡、李树然 (2025). 浙江省爬行动物新纪录——光蜥 野生动物学报 https://doi.org/https://link.cnki.net/urlid/23.1587.S.20250506.1148.004
93,崇安斜鳞蛇,Pseudoxenodon karlschmidti,浙江,事件表,省级新纪录事件（1省）,王聿凡、朱志成、刘凯怊、许济南、黄镇杨、何珂、刘宝权 (2025). 浙江省爬行类新纪录—崇安斜鳞蛇 野生动物学报 https://doi.org/https://link.cnki.net/urlid/23.1587.S.20251117.1652.002
94,布氏泛树蛙,Polypedates mutus,湖北,事件表,省级新纪录事件（1省）,
95,淡肩角蟾,Boulenophrys boettgeri,福建,终审:排除-伴随物种（省内已知）,记录类型无法判定（原表未标注且引用无线索）,"Shi-Shi Lin and Hong-Hui Chen and Yuan-Hang Li and Zhao-Ning Peng and Zhao-Chi Zeng and Jian Wang (2024). A new Boulenophrys species (Anura, Megophryidae) from the coastal hills of eastern Fujian Province, China https://doi.org/10.3897/zookeys.1216.130017"
